1,001,2014-05-23 00:01:47,2014-05-23 01:04:40,01:02:53
1,001,2014-05-23 02:09:04,2014-05-23 03:08:18,00:59:14
1,001,2014-05-23 04:02:44,2014-05-23 05:05:05,01:02:21
1,001,2014-05-23 06:01:27,2014-05-23 07:01:11,00:59:44
1,001,2014-05-23 08:05:02,2014-05-23 09:07:36,01:02:34
1,001,2014-05-23 10:01:24,2014-05-23 11:02:33,01:01:09
1,001,2014-05-23 12:02:22,2014-05-23 13:01:56,00:59:34
1,001,2014-05-23 14:08:35,2014-05-23 15:07:06,00:58:31
1,001,2014-05-23 16:01:18,2014-05-23 17:09:52,01:08:34
1,001,2014-05-23 18:07:19,2014-05-23 19:05:54,00:58:35
1,001,2014-05-23 20:03:51,2014-05-23 21:02:33,00:58:42
1,001,2014-05-23 22:03:44,2014-05-23 23:01:31,00:57:47
